MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,VesselType
366000003,2024-01-15T02:47:00,33.9096,-118.3986,2.0,10.7,111,SILVER IRON,70
366000003,2024-01-15T04:14:00,33.7423,-118.4247,1.8,233.3,279,SILVER IRON,70
366000003,2024-01-15T06:26:00,33.6191,-118.1814,2.3,2.3,81,SILVER IRON,70
366000003,2024-01-15T08:44:00,33.7065,-118.3161,1.8,274.1,52,SILVER IRON,70
366000003,2024-01-15T10:05:00,33.6881,-118.281,1.9,95.0,22,SILVER IRON,70
366000033,2024-01-15T02:18:00,33.8824,-118.1687,9.7,207.3,35,GUARDIAN NORTHERN,70
366000033,2024-01-15T04:02:00,33.8097,-118.1019,9.8,307.1,51,GUARDIAN NORTHERN,70
366000033,2024-01-15T06:24:00,33.644,-118.1613,9.3,132.9,107,GUARDIAN NORTHERN,70
366000033,2024-01-15T08:42:00,33.6392,-118.0312,9.5,218.7,87,GUARDIAN NORTHERN,70
366000033,2024-01-15T10:34:00,33.8391,-118.3656,9.3,355.2,327,GUARDIAN NORTHERN,70
366000069,2024-01-15T02:52:00,33.5377,-118.2998,12.8,75.7,290,IRON OCEAN,70
366000069,2024-01-15T04:56:00,33.8342,-118.3443,13.0,317.6,329,IRON OCEAN,70
366000069,2024-01-15T06:29:00,33.5856,-118.3758,13.2,193.5,299,IRON OCEAN,70
366000097,2024-01-15T02:32:00,33.7372,-118.1094,3.1,54.9,81,MARINER STAR,70
366000097,2024-01-15T04:50:00,33.818,-118.1783,2.7,213.9,239,MARINER STAR,70
366000097,2024-01-15T06:33:00,33.6325,-118.197,3.1,244.2,58,MARINER STAR,70
366000132,2024-01-15T02:00:00,33.9362,-118.0575,1.0,179.7,91,SILVER OCEAN,70
366000132,2024-01-15T04:32:00,33.9184,-118.0598,1.1,229.4,311,SILVER OCEAN,70
366000132,2024-01-15T06:12:00,33.5899,-118.1065,1.2,279.5,271,SILVER OCEAN,70
366000132,2024-01-15T08:58:00,33.524,-118.296,0.8,333.5,157,SILVER OCEAN,70
366000136,2024-01-15T02:52:00,37.6603,-122.2455,7.0,46.1,243,IRON MARINER,70
366000136,2024-01-15T04:35:00,37.6914,-122.321,6.9,346.2,276,IRON MARINER,70
366000136,2024-01-15T06:48:00,37.8746,-122.4269,6.6,357.3,332,IRON MARINER,70
366000136,2024-01-15T08:23:00,37.7799,-122.3243,6.5,80.7,173,IRON MARINER,70
366000138,2024-01-15T02:45:00,37.8425,-122.4179,0.9,308.6,36,MARINER GUARDIAN,70
366000138,2024-01-15T04:32:00,37.715,-122.2752,0.4,47.5,292,MARINER GUARDIAN,70
366000138,2024-01-15T06:36:00,37.7911,-122.2377,0.9,68.4,49,MARINER GUARDIAN,70
366000166,2024-01-15T02:43:00,37.8498,-122.2826,2.1,261.4,55,POLAR HORIZON,70
366000166,2024-01-15T04:15:00,37.7,-122.3182,2.1,65.9,236,POLAR HORIZON,70
