zone_id,ts_hour,wind_speed,wind_gust,precipitation,wave_height
la_long_beach,2024-01-15T02:00,37.5,47.2,5.7,4.4
la_long_beach,2024-01-15T04:00,35.1,45.6,5.2,4.9
la_long_beach,2024-01-15T06:00,35.5,47.8,5.6,4.3
la_long_beach,2024-01-15T08:00,38.7,45.2,5.7,4.5
la_long_beach,2024-01-15T10:00,36.9,45.9,5.5,4.3
la_long_beach,2024-01-15T12:00,35.8,46.4,5.7,4.3
oakland,2024-01-15T02:00,6.3,13.1,0.4,0.7
oakland,2024-01-15T04:00,9.2,11.1,0.0,1.0
oakland,2024-01-15T06:00,9.3,12.3,0.2,1.1
oakland,2024-01-15T08:00,7.8,11.9,0.0,1.0
oakland,2024-01-15T10:00,7.5,13.7,0.4,1.2
oakland,2024-01-15T12:00,7.0,11.5,0.4,0.7
seattle_tacoma,2024-01-15T02:00,23.3,29.9,2.4,1.9
seattle_tacoma,2024-01-15T04:00,26.0,31.2,2.2,1.7
seattle_tacoma,2024-01-15T06:00,25.9,28.5,2.5,1.9
seattle_tacoma,2024-01-15T08:00,22.4,31.4,1.6,2.3
seattle_tacoma,2024-01-15T10:00,22.1,28.6,2.4,2.4
seattle_tacoma,2024-01-15T12:00,22.3,31.1,1.8,2.1
ny_nj,2024-01-15T02:00,29.6,35.3,2.8,2.7
ny_nj,2024-01-15T04:00,30.1,38.8,3.1,2.9
ny_nj,2024-01-15T06:00,30.0,37.2,3.1,2.4
ny_nj,2024-01-15T08:00,30.7,36.1,2.7,2.3
ny_nj,2024-01-15T10:00,31.9,38.0,3.2,2.3
ny_nj,2024-01-15T12:00,28.7,36.2,2.5,2.5
houston,2024-01-15T02:00,10.2,16.4,0.4,0.8
houston,2024-01-15T04:00,11.6,17.7,0.2,0.7
houston,2024-01-15T06:00,12.4,16.5,0.7,1.0
houston,2024-01-15T08:00,12.3,15.9,0.6,1.0
houston,2024-01-15T10:00,12.7,18.6,0.5,0.8
houston,2024-01-15T12:00,12.2,15.3,0.9,1.4
