MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,VesselType
636019825,2024-01-15T02:00:00,33.72,-118.25,0.2,0.0,511,PACIFIC VOYAGER,70
636019825,2024-01-15T05:00:00,33.72,-118.25,0.3,0.0,511,PACIFIC VOYAGER,70
636019825,2024-01-15T08:00:00,33.73,-118.24,0.5,0.0,511,PACIFIC VOYAGER,70
477553000,2024-01-15T03:00:00,33.75,-118.20,12.4,95.0,96,EASTERN STAR,70
477553000,2024-01-15T06:00:00,33.70,-118.10,11.8,92.0,93,EASTERN STAR,70
538007918,2024-01-15T04:00:00,37.80,-122.33,1.4,180.0,182,GOLDEN HORIZON,70
538007918,2024-01-15T07:00:00,37.81,-122.32,1.1,175.0,178,GOLDEN HORIZON,70
566123000,2024-01-15T04:00:00,47.58,-122.36,2.5,270.0,271,NORTHERN LIGHT,70
566123000,2024-01-15T09:00:00,47.59,-122.34,2.9,268.0,269,NORTHERN LIGHT,70
311021300,2024-01-15T04:00:00,25.00,-140.00,15.0,300.0,301,OPEN SEA DRIFTER,70
999,2024-01-15T04:00:00,33.70,-118.20,5.0,100.0,101,BAD MMSI ROW,70
566123000,2024-01-15T10:00:00,999.0,-122.30,3.0,10.0,11,NORTHERN LIGHT,70
